frcd,partno,partname,floor,repack,picktime_repack_mean,picktime_repack_std,picktime_norepack_mea,picktime_norepack_std,supplier1,supplier2
D,4355050062,輪轂軸承次總成,4,,,,,,TG0,
D,8156153180,組合燈殼,4,,,,,,TG0,
D,8157040050B0,第三煞車燈總成,4,,,,,,TG0,
C,S233101810,燃油濾清器座,4,,,,,,HG0,
C,S478011590,控制閥,4,,,,,,HG0,
C,S871381110,鼓風機電阻,4,,,,,,HG0,
A,1.62E+15,,4,,,,,,PG1,
F,1627603460T,碳刷架,4,,,,,,DG0,
D,2302136041,含密封圈燃油泵次總成,4,,,,,,TG0,
A,2736024150,發電機線圈總成,4,,,,,,TG0,
C,3.30E+264,,4,,,,,,HG0,
A,5204060010,左前保險桿孔蓋總成,4,,,,,,TG0,
A,733400K070B0,安全帶總成,4,,,,,,KG0,H805
A,7336033342C1,右外側後座椅安全帶,4,,,,,,TG0,
A,83800FA581,綜合儀表總成,4,,,,,,KG0,C309
D,8586753030,椅背溫度控制鼓風機,4,,,,,,TG0,
D,8865024400,空調放大器總成,4,,,,,,TG0,
D,8917048390,SRS氣囊電腦,4,,,,,,TG0,
C,8942537110,排氣溫度感知器,4,,,,,,HG0,
D,8966148Y70,引擎控制電腦,4,,,,,,TG0,
D,8966153S80,引擎控制電腦,4,,,,,,TG0,
C,S330431970,第3檔齒輪,4,,,,,,HG0,
C,S443081270,轉向泵油壺濾網,4,,,,,,HG0,
A,554050M010,儀表板中飾板,4,,,,,,KG0,L205
A,8794042A80,後視鏡總成,4,,,,,,TG0,
P,TWY447201400,集中修理壓縮機,4,,,,,,DG0,
A,7191006180A0,座頭枕總成,4,,,,,,KG0,S912
A,8380006770,綜合儀表總成,4,,,,,,KG0,T015
D,8791A50860B0,右後視鏡外殼,4,,,,,,TG0,
A,87940AE052B0,後視鏡總成,4,,,,,,TG0,
N,FAR457,空氣芯,4,,,,,,NG8,
F,TWY447200070,集中修理壓縮機,4,,,,,,DG0,
A,177050V110,空氣濾清器上蓋次總成,4,,,,,,KG0,T015
A,273100V140,靜子發電機驅動端架,4,,,,,,KG0,T015
N,7000000642,3M PPS外杯,4,,,,,,NE5,
D,7774048100,活性碳罐總成,4,,,,,,TG0,
D,8791033F11C0,後視鏡總成,4,,,,,,TG0,
D,896613AA01,引擎控制電腦,4,,,,,,TG0,
A,8968147460,動力管理控制ECU,4,,,,,,TG0,
C,S407SEV070,煞車修理包,4,,,,,,HG0,
A,1.66E+25,,4,,,,,,PG1,
A,4520512360,方向機柱軸管次總成,4,,,,,,TG0,S909
G,8273036010,駕駛側繼電器盒本體總成,4,,,,,,TG0,
A,8616016511,揚聲器,4,,,,,,NI2,H012
D,8821033041,毫米波雷達感知器總成,4,,,,,,TG0,
C,S130BE0K21,活塞,4,,,,,,HG0,
C,S156071521,機油濾清器濾芯,4,,,,,,HG0,
D,1330131031C0,活塞,4,,,,,,TG0,
A,2221022130,節汽閥體總成,4,,,,,,TG0,
A,2310147010,燃油泵,4,,,,,,TG0,
A,232200H251,燃油泵總成,4,,,,,,KG0,C306
D,4350250022,前軸殼,4,,,,,,TG0,
D,4773048020,右後碟煞分泵總成,4,,,,,,TG0,
D,7347033130C0,安全帶總成,4,,,,,,TG0,
D,8790833720B1,右後視鏡作動器,4,,,,,,TG0,
D,8790953230B1,左後視鏡作動器,4,,,,,,TG0,
D,8794033B11C1,後視鏡總成,4,,,,,,TG0,
C,S166031200,皮帶惰輪皮帶盤,4,,,,,,HG0,
A,7194002L21C3,座椅頭枕總成,4,,,,,,KG0,S912
D,8710730530,熱排暖氣水箱次總成,4,,,,,,TG0,
A,8796106550,視鏡片,4,,,,,,KG0,J002
A,PC150F400143,TRDS 尾翼,4,,,,,,PG1,
D,417536030,,4,,,,,,TG0,
S,5540250140B1,儀表板墊次總成,4,,,,,,TG0,
D,6248848021A1,左車頂側內飾蓋,4,,,,,,TG0,
D,8273048A10,駕駛側繼電器盒本體總成,4,,,,,,TG0,
D,8.62E+35,,4,,,,,,TG0,
G,8855037100,冷凝器風扇馬達,4,,,,,,TG0,
N,FFS826HE,柴油芯,4,,,,,,NG8,
D,1301131130,活塞環組,4,,,,,,TG0,
C,1.35E+74,,4,,,,,,HG0,
D,7337048041A0,外側座椅安全帶總成,4,,,,,,TG0,
D,8122130223,霧燈總成,4,,,,,,TG0,
D,8272050040,接線盒,4,,,,,,TG0,
D,8273053F20,駕駛側繼電器盒本體總成,4,,,,,,TG0,
A,8917806040,座椅氣囊感知器,4,,,,,,TG0,TMS
D,8923150060,轉向柱傾斜馬達,4,,,,,,TG0,
C,S440695760,煞車修理包,4,,,,,,HG0,
A,SU00306240,凸輪軸,4,,,,,,TG0,
D,1305036011,凸輪軸正時齒輪總成,4,,,,,,TG0,
D,2220420010,進氣空氣流量計次總成,4,,,,,,TG0,
A,559020D270,空調控制面板次總成,4,,,,,,KG0,F601
D,8112650730,右頭燈固定板,4,,,,,,TG0,
A,8646133030,前進識別鏡頭,4,,,,,,TG0,
N,FFR2107,柴油芯,4,,,,,,NG8,
N,P30662MS,"3M金字塔精密研磨砂紙 6"""" 5000番",4,,,,,,NCC,
N,PZ06112759,控制器,4,,,,,,NI2,NI54
A,5555052321C0,手套箱門總成,4,,,,,,TG0,
D,7702453040,燃油芯,4,,,,,,TG0,
A,891700K070,中SRS氣囊感知器,4,,,,,,PG1,TMP
A,PC401F400443,TRDS 水箱飾條,4,,,,,,PG1,
A,452500K030,方向機柱總成,4,,,,,,KG0,S909
A,5562006040,置杯架,4,,,,,,KG0,T023
D,8492058050,整合式操作面板開關,4,,,,,,TG0,
D,1704638010,排氣控制作動器次總成,4,,,,,,TG0,
D,1770537161,空氣濾清器上蓋次總成,4,,,,,,TG0,
D,4720150350,煞車總泵次總成,4,,,,,,TG0,
A,8.79E+09,,4,,,,,,TG0,TMS
A,PC3550K02K00,側桿,4,,,,,,PG1,
D,4510030G10C0,方向盤總成,4,,,,,,TG0,
A,81130AA020,右頭燈單元總成,4,,,,,,TG0,
D,8114553150,右頭燈單元總成,4,,,,,,TG0,
C,821H1KH010,動力馬達線束,4,,,,,,KG0,
N,8.85E+11,,4,,,,,,NIM,NI25
D,4510048611C1,方向盤總成,4,,,,,,TG0,
A,4785037042,後煞車分泵,4,,,,,,TG0,
C,821H6KH060,動力電池線束NO.3,4,,,,,,KG0,
A,SU00307105,方向盤,4,,,,,,TG0,
C,2.61E+220,,4,,,,,,HG0,
D,4705076180,煞車增壓器總泵總成,4,,,,,,TG0,
A,8917042850,SRS氣囊電腦,4,,,,,,TG0,
C,S114671222,汽缸套#Y,4,,,,,,HG0,
A,131010M040,活塞,4,,,,,,PG1,
D,5882248130C1,後上中央置物箱板,4,,,,,,TG0,
A,8110702G90,頭燈電腦次總成,4,,,,,,KG0,D401
D,8122148041,霧燈總成,4,,,,,,TG0,
A,832200B160,速率表總成,4,,,,,,KG0,C309
A,8974102390,車門控制接收器,4,,,,,,KG0,L205
C,S831023300,儀錶電路板,4,,,,,,HG0,
C,S865201141,低音喇叭總成,4,,,,,,KG0,I902
A,82161F2T40,車身地板配線,4,,,,,,KG0,Z006
A,1.31E+11,,4,,,,,,PG1,
G,2330158150,濾清器外蓋,4,,,,,,TG0,
D,2736036111,發電機線圈總成,4,,,,,,TG0,
F,2771000141T,擴大器,4,,,,,,DG0,
A,359710D051,檔位指示器上外殼,4,,,,,,KG0,L205
G,4431036310,方向機動力泵,4,,,,,,TG0,
A,7336002540B1,後座椅外側安全帶總成,4,,,,,,KG0,H805
D,8162076010C0,整合面板外蓋,4,,,,,,TG0,
D,861600WS20,揚聲器,4,,,,,,TG0,
D,8815078071,行車輔助控制電腦,4,,,,,,TG0,
C,S333722160,銅齒輪座,4,,,,,,HG0,
C,S407SEV050,煞車修理包,4,,,,,,HG0,
C,S832705270,引擎轉速錶,4,,,,,,HG0,
A,SU00302462,前擋風玻璃雨刷開關總成,4,,,,,,TG0,
A,SU00306414,引擎控制電腦,4,,,,,,TG0,
D,1310131092B0,活塞,4,,,,,,TG0,
D,5247724020,左前擾流板,4,,,,,,TG0,
A,734800D390C0,左內後座椅(含中間)安全帶總成,4,,,,,,KG0,H805
D,7391076010,右前座SRS氣囊,4,,,,,,TG0,
D,8162378040,左車幅LED位置燈總成,4,,,,,,TG0,
A,83800FE820,綜合儀表總成,4,,,,,,KG0,C309
A,8954033340,防滑控制電腦總成,4,,,,,,TG0,
C,S448201040,水份分離器,4,,,,,,HG0,
C,16303E0510,節溫器座,4,,,,,,HG0,
D,4773030430,右碟煞分泵總成,4,,,,,,TG0,
D,5590033M30,空調控制器總成,4,,,,,,TG0,
A,5890502A40C0,中央扶手置物盒蓋次總成,4,,,,,,KG0,F601
D,7322048530C3,左前座椅外側安全帶總成,4,,,,,,TG0,
N,75972F1003,保險桿蓋貼紙,4,,,,,,NE5,
D,8167133170,右倒車燈殼,4,,,,,,TG0,
A,83800FA571,綜合儀表總成,4,,,,,,KG0,C309
A,04111F0040,引擎大修包,4,,,,,,TG0,TMS
A,16470WAA01,副水箱總成,4,,,,,,TG0,TME
G,2367079018,共軌噴油嘴總成,4,,,,,,TG0,
D,3641060061,加力箱作動器,4,,,,,,TG0,
D,4526030220,轉向中間軸總成,4,,,,,,TG0,
A,5890502E40C0,中央扶手置物盒蓋次總成,4,,,,,,KG0,F601
D,7321076052C0,右前座椅外側安全帶總成,4,,,,,,TG0,
A,743202B830B0,遮陽板總成,4,,,,,,KG0,S912
A,838004A620,綜合儀表總成,4,,,,,,TG0,
G,1111558081,汽缸床墊片,4,,,,,,TG0,
A,4.51E+09,,4,,,,,,TG0,TMS
D,4526050070,轉向中間軸總成,4,,,,,,TG0,
A,7423102460B0,右前門控飾板,4,,,,,,KG0,L205
A,842500D360C0,轉向開關總成,4,,,,,,PG1,
D,8790653090A1,左後視鏡鏡片次總成,4,,,,,,TG0,
A,8794033280B2,後視鏡總成,4,,,,,,TG0,
C,S831381170,速度錶玻璃,4,,,,,,HG0,
C,1770530110,空氣濾清器外蓋,4,,,,,,HG0,
D,4851080144,避震器總成,4,,,,,,TG0,
D,8158150270,右尾燈殼,4,,,,,,TG0,
D,8159176011,左尾燈殼,4,,,,,,TG0,
D,878100WL60,室內後視鏡總成,4,,,,,,TG0,
D,8790930E01C0,左後視鏡作動器,4,,,,,,TG0,
A,1350237010,凸輪軸,4,,,,,,TG0,
D,1789831010,進氣聲音產生器,4,,,,,,TG0,
C,33324EV060,PTO輸出軸凸緣,4,,,,,,HG0,
A,556500D570B0,儀表飾板出風口總成,4,,,,,,KG0,S913
D,8155124080,右後組合燈殼,4,,,,,,TG0,
D,3355053200,地板式變速箱排檔桿總成,4,,,,,,TG0,
C,4.44E+94,,4,,,,,,HG0,
A,451000D710C0,方向盤總成,4,,,,,,KG0,F601
D,8478130010,智慧型旋鈕操控開關,4,,,,,,TG0,
A,8999028190,智慧型鎖匙控制電腦,4,,,,,,TG0,
C,S132011280,連桿軸承組，STD,4,,,,,,HG0,
A,SU00305176,燃油泵,4,,,,,,TG0,
C,4.46E+24,,4,,,,,,HG0,
C,4.74E+294,,4,,,,,,HG0,
D,8156160770,組合燈殼,4,,,,,,TG0,
A,6905228330,車門鎖&鑰匙組,4,,,,,,TG0,
O,400299048,,4,Y,,,,,TG0,
6,C82F442F52,安心鎖鑰匙,4,Y,,,,,NI2,
N,CR2025MAX,晶片鑰匙電池,4,Y,,,,,MAX,
D,8990430D40,名片型鎖匙發射器,4,Y,,,,,TG0,
D,8990453711,智慧型鎖匙發射器,4,Y,,,,,TG0,
D,8907278380,智慧型鎖匙發射器外殼,4,,,,,,TG0,
A,6905728370,點火開關&鑰匙組,4,,,,,,TG0,
A,899040K541,智慧型鎖匙發射器,4,,,,,,PG1,
A,8975252230,晶片鑰匙殼,4,Y,,,,,KG0,L205
A,8990433K40,智慧型鎖匙發射器,4,Y,,,,,TG0,
D,8978650030,晶片副鑰匙,4,,,,,,TG0,
A,8907206120,中控發射器外殼,4,Y,,,,,KG0,L205
A,9099900153,空白鑰匙,4,Y,,,,,TG0,
D,8907048051,中控發射器總成,4,Y,,,,,TG0,
D,8907248G80,中控發射器外殼,4,Y,,,,,TG0,
N,PZZY81603C,ＫＥＹ型遙控器外殼,4,Y,,,,,NI1,
D,8907233D60,智慧型鎖匙發射器外殼,4,Y,,,,,TG0,
A,690052B690,全車鎖組,4,,,,,,KG0,L205
6,C23F40DJ51,鑰匙(1把),4,Y,,,,,NI2,
A,6905702440,點火開關&鑰匙組,4,,,,,,KG0,L205
D,8990430C11,智慧型鎖匙發射器,4,Y,,,,,TG0,
A,8907212590,智慧型鎖匙發射器外殼,4,Y,,,,,TG0,
D,8990HV2200,智慧型鎖匙發射器,4,,,,,,TG0,
C,9099900225,空白鎖鑰,4,Y,,,,,HG0,
A,8907228460,中控發射器外殼,4,,,,,,TG0,
A,6951547010,空白鑰匙,4,Y,,,,,TG0,
A,8907002480,中控發射器總成,4,Y,,,,,KG0,L205
D,8978660150,晶片副鑰匙,4,Y,,,,,TG0,
6,C5BCN00P64,64G SD卡(CARMAX LOGO),4,,,,,,NI2,
A,8907247540,智慧型鎖匙發射器外殼,4,Y,,,,,TG0,
D,8990H52300,智慧型鎖匙發射器,4,Y,,,,,TG0,
A,69055BZ070,尾門門鎖&鑰匙組,4,Y,,,,,TG0,TAM
A,8990H08011,智慧型鎖匙發射器,4,,,,,,TG0,
A,8999042073,智慧型鎖匙控制電腦,4,,,,,,TG0,
A,8999047221,智慧型鎖匙控制電腦,4,,,,,,TG0,
D,8975153021,晶片鑰匙蓋,4,Y,,,,,TG0,
O,400299413,,4,Y,,,,,TG0,
6,C93CN00J52,MICRO SD(16G),4,,,,,,NI2,
D,6951511020,空白鑰匙,4,Y,,,,,TG0,
A,9099900188,空白鑰匙,4,Y,,,,,TG0,
G,8907042C90,中控發射器總成,4,Y,,,,,TG0,
6,C42HC00K52,電池(1顆),4,Y,,,,,NI2,
A,8978620050,晶片副鑰匙,4,Y,,,,,TG0,
D,8990448F50,名片型鎖匙發射器,4,Y,,,,,TG0,
A,890720KJ00,智慧型鎖匙發射器外殼,4,,,,,,PG1,
A,8.91E+56,,4,Y,,,,,TG0,
6,C42F412D54,複製一般KEY,4,Y,,,,,NI2,
A,690520K070,車門鎖&鑰匙組,4,Y,,,,,PG1,
A,8990447470,智慧型鎖匙發射器,4,Y,,,,,TG0,
A,8975106010,晶片鑰匙蓋,4,Y,,,,,KG0,L205
A,890720M060,中控發射器外殼,4,Y,,,,,KG0,L205
A,8990H12570,智慧型鎖匙發射器,4,Y,,,,,TG0,
A,SU00304498,智慧型鎖匙發射器,4,Y,,,,,TG0,
A,899040K103,智慧型鎖匙發射器,4,Y,,,,,PG1,
D,8907048841,中控發射器總成,4,Y,,,,,TG0,
O,400299042,,4,Y,,,,,TG0,
G,6905736070,點火開關&鑰匙組,4,,,,,,TG0,
D,8907053561,中控發射器總成,4,Y,,,,,TG0,
O,400299250,,4,Y,,,,,TG0,
D,8907276180,智慧型鎖匙發射器外殼,4,Y,,,,,TG0,
6,C82F40DJ52,安心鎖鑰匙,4,Y,,,,,NI2,
A,8907230B30,智慧型鎖匙發射器外殼,4,,,,,,TG0,
D,8990H50C70,名片型鎖匙發射器,4,Y,,,,,TG0,
D,8990448G10,名片型鎖匙發射器,4,Y,,,,,TG0,
A,8907242880,智慧型鎖匙發射器外殼,4,Y,,,,,TG0,
6,C23F40M952,鑰匙,4,Y,,,,,NI2,
D,8990453701,智慧型鎖匙發射器,4,Y,,,,,TG0,
D,8990450C90,名片型鎖匙發射器,4,Y,,,,,TG0,
D,8990411300,智慧型鎖匙發射器,4,Y,,,,,TG0,
D,8907250G20,智慧型鎖匙發射器外殼,4,Y,,,,,TG0,
D,8990478370,智慧型鎖匙發射器,4,Y,,,,,TG0,
D,8999448142,名片型鎖匙發射器,4,Y,,,,,TG0,
D,8990411100,智慧型鎖匙發射器,4,Y,,,,,TG0,
A,89904F4040,智慧型鎖匙發射器,4,Y,,,,,TG0,TME
A,6905230350,車門鎖&鑰匙組,4,,,,,,TG0,
D,8990H33280,名片型鎖匙發射器,4,Y,,,,,TG0,
D,6905233370,車門鎖&鑰匙組,4,Y,,,,,TG0,
A,899046A290,智慧型鎖匙發射器,4,,,,,,TG0,
A,690520M020,車門鎖&鑰匙組,4,Y,,,,,KG0,L205
D,8990H76200,智慧型鎖匙發射器,4,Y,,,,,TG0,
D,6905748101,點火開關&鑰匙組,4,Y,,,,,TG0,
D,6905248210,車門鎖&鑰匙組,4,,,,,,TG0,
D,8999450250,晶片鑰匙,4,Y,,,,,TG0,
A,8907242B70,智慧型鎖匙發射器外殼,4,,,,,,TG0,
D,8990450N50,智慧型鎖匙發射器,4,Y,,,,,TG0,
A,6905520760,行李廂鎖&鑰匙組,4,Y,,,,,KG0,L205
D,6905533540,行李廂鎖&鑰匙組,4,,,,,,TG0,
A,695150K130,空白鑰匙,4,Y,,,,,PG1,
A,8907216280,智慧型鎖匙發射器外殼,4,,,,,,TG0,
A,89072V2060,智慧型鎖匙發射器外殼,4,,,,,,TG0,
D,8990448C81,搖控器鑰匙,4,Y,,,,,TG0,
S,400299202,,4,Y,,,,,TG0,
D,8990H76760,智慧型鎖匙發射器,4,Y,,,,,TG0,
D,8907276230,智慧型鎖匙發射器外殼,4,,,,,,TG0,
A,8990460551,智慧型鎖匙發射器,4,Y,,,,,TG0,
D,8990430J20,智慧型鎖匙發射器,4,Y,,,,,TG0,
A,8990H47150,智慧型鎖匙發射器,4,Y,,,,,TG0,
D,8990478540,智慧型鎖匙發射器,4,Y,,,,,TG0,
D,8934130010B4,車距感知器,4,Y,,,,,TG0,
A,9099900186,空白鑰匙,4,Y,,,,,TG0,L205
D,8990453B10,智慧型鎖匙發射器,4,Y,,,,,TG0,
A,8.91E+66,,4,,,,,,TG0,
D,6951530300,空白鑰匙,4,Y,,,,,TG0,
D,8934130021C0,車距感知器,4,Y,,,,,TG0,
D,8990450D80,智慧型鎖匙發射器,4,Y,,,,,TG0,
D,8907024181,中控發射器總成,4,,,,,,TG0,
6,C23F4V2J51,鑰匙(1把),4,Y,,,,,NI2,
A,9099900166,空白鑰匙,4,Y,,,,,TG0,
A,8990H42760,智慧型鎖匙發射器,4,Y,,,,,TG0,
A,890720D470,中控發射器外殼,4,Y,,,,,KG0,L205
D,6900548560,全車鎖組,4,,,,,,TG0,
A,8907208030,智慧型鎖匙發射器外殼,4,Y,,,,,TG0,TMS
A,8975212120,晶片鑰匙殼,4,Y,,,,,KG0,L205
A,8907258240,智慧型鎖匙發射器外殼,4,,,,,,TG0,
D,8990H46081,智慧型鎖匙發射器,4,,,,,,TG0,
A,899040KF70,智慧型鎖匙發射器,4,Y,,,,,PG1,
A,89071BZ130,中控發射器次總成,4,Y,,,,,PG1,TAM
A,8907242870,智慧型鎖匙發射器外殼,4,Y,,,,,TG0,
D,8990476090,智慧型鎖匙發射器,4,Y,,,,,TG0,
D,8999448072,名片型鎖匙發射器,4,Y,,,,,TG0,
C,69005E0A71,車門鎖組,4,,,,,,HG0,
D,6900553560,全車鎖組,4,,,,,,TG0,
A,6900506661,全車鎖組,4,,,,,,KG0,L205
C,6900537C81,車門鎖組,4,,,,,,HG0,
A,69005BZJ30,全車鎖組,4,,,,,,KG0,L205
A,6900548361,全車鎖組,4,,,,,,TG0,
A,6900558230,全車鎖組,4,,,,,,TG0,
A,6900512K50,全車鎖組,4,,,,,,TG0,
A,690050M080,全車鎖組,4,,,,,,KG0,L205
D,8990H50240,名片型鎖匙發射器,4,,,,,,TG0,
C,6.90E+77,,4,,,,,,HG0,
A,69005V2030,全車鎖組,4,,,,,,TG0,
A,690050KD10,全車鎖組,4,,,,,,PG1,
C,6900537D11,車門鎖組,4,,,,,,HG0,
A,6900506341,全車鎖組,4,,,,,,KG0,L205
A,899H042170,智慧型鎖匙控制電腦,4,,,,,,TG0,
A,8966602G80,引擎控制電腦,4,,,,,,PG1,
C,6905725070,點火開關鎖組,4,,,,,,HG0,
A,690570D040,點火開關&鑰匙組,4,,,,,,KG0,L205
D,6900548670,全車鎖組,4,,,,,,TG0,
A,896614A640,引擎控制電腦,4,,,,,,TG0,
C,69005E0642,車門鎖組,4,,,,,,HG0,
O,400299251,,4,Y,,,,,TG0,
A,6900530J50,全車鎖組,4,,,,,,TG0,
A,8970402750,全車鎖組,4,,,,,,KG0,L205
A,6.90E+26,,4,,,,,,TG0,
A,6900552N70,全車鎖組,4,,,,,,TG0,
D,8627153387,CD/SD地圖片,4,,,,,,TG0,
A,G909047062,電動車充電器總成,4,,,,,,TG0,
C,82121E1W74,引擎配線,4,,,,,,HG0,
D,83108V2021,抬頭顯示幕總成,4,,,,,,TG0,
D,4802050351,左前避震器氣壓缸,4,,,,,,TG0,
A,8831042391,冷氣壓縮機總成,4,,,,,,TG0,
A,8515028201,前擋雨刷連桿總成,4,,,,,,TG0,
C,5.53E+74,,4,,,,,,HG0,
A,4705047551,煞車增壓器總泵總成,4,,,,,,TG0,
A,53112WAA01,水箱總成下護罩,4,,,,,,TG0,TME
C,7.18E+24,,4,,,,,,HG0,
A,4851080137,前避震器，右,4,,,,,,TG0,
D,4801050351,右前避震器氣壓缸,4,,,,,,TG0,
G,17201E0702,渦輪增壓器,4,,,,,,TG0,
A,81561F4120,組合燈殼,4,,,,,,TG0,TME
C,S49U0E0751,空氣煞車室總成,4,,,,,,HG0,
C,S884111200,冷凝器芯子,4,,,,,,HG0,
O,46700E0431,排氣減速器總成,4,,,,,,HG0,
C,36610E0J30,動力分導器（PTO）,4,,,,,,HG0,
A,4351220220,前煞車碟盤,4,,,,,,KG0,L203
C,1.57E+244,,4,,,,,,HG0,
A,1770025141,空氣濾清器總成,4,,,,,,TG0,
A,4852016280,避震器總成,4,,,,,,KG0,E501
C,4783037013,空氣煞車室總成,4,,,,,,HG0,
A,485102B160,避震器總成,4,,,,,,KG0,E501
C,S4510E0130,方向盤總成,4,,,,,,HG0,
N,CAN225814,2258美紋遮蔽膠帶(1吋)14MM,4,,,,,,NEC,
F,4477105271T,冷凝器芯子,4,,,,,,DG0,
A,4705042160,煞車增壓器總泵總成,4,,,,,,TG0,
A,8831033470,冷氣壓縮機總成,4,,,,,,TG0,
A,446100DC50,煞車增壓器總成,4,,,,,,KG0,T024
C,81560E0450,後燈總成，左,4,,,,,,HG0,
A,1142024010,曲軸箱外殼,4,,,,,,TG0,
G,4461036530,煞車增壓器總成,4,,,,,,TG0,
A,4351208060,前煞車碟盤,4,,,,,,TG0,TMS
C,1.35E+54,,4,,,,,,HG0,
A,3200048060,扭力轉換器總成,4,,,,,,TG0,
A,815518C006,右後組合燈殼,4,,,,,,KG0,D401
G,4351236183,前煞車碟盤,4,,,,,,TG0,
A,8115002330,左頭燈總成,4,,,,,,KG0,D401
7,3MHAMTOY02,PM0.3 A/C 空調濾網,4,,,,,,NEC,
7,3MHAMTOY04,PM0.3 A/C 空調濾網,4,,,,,,NEC,
D,4852079106,避震器總成,4,,,,,,TG0,
D,4351211010,前煞車碟盤,4,,,,,,TG0,
C,1131011031,正時齒輪蓋總成,4,,,,,,HG0,
7,3MHAMVOL01,PM0.3 A/C 空調濾網,4,,,,,,NEC,
C,S497201020,底座,4,,,,,,HG0,
7,3MHAMTOY01,PM0.3 A/C 空調濾網,4,,,,,,NEC,
A,485202B170,避震器總成,4,,,,,,KG0,E501
A,4461002B40,煞車增壓器總成,4,,,,,,KG0,T024
7,3MHAMHON02,PM0.3 A/C 空調濾網,4,,,,,,NEC,
D,8831033430,壓縮機總成,4,,,,,,TG0,
C,5545837021B0,儀錶板飾蓋，下,4,,,,,,HG0,
C,8113037880,大燈外殼總成，右,4,,,,,,HG0,
D,861204D570,音響主機總成,4,,,,,,TG0,
7,3MHAMHON04,PM0.3 A/C 空調濾網,4,,,,,,NEC,
D,8614052820,音響&放映機總成,4,,,,,,TG0,
A,485102B170,避震器總成,4,,,,,,KG0,E501
C,S4510E0120,方向盤總成,4,,,,,,HG0,
A,8831033420,壓縮機總成,4,,,,,,TG0,
7,3MHAMHON03,PM0.3 A/C 空調濾網,4,,,,,,NEC,
D,7702048320,燃油泵總成,4,,,,,,TG0,
7,3MHAMBMW04,PM0.3 A/C 空調濾網,4,,,,,,NEC,
D,1770036330,空氣濾清器總成,4,,,,,,TG0,
G,7701026060,燃油箱通氣管總成,4,,,,,,TG0,
N,7100134652,"PPS2.0中型內杯組- 上蓋+內杯(400ML),200U",4,,,,,,NE5,
D,8612033P20,音響主機總成,4,,,,,,TG0,
A,446100A030,煞車增壓器總成,4,,,,,,KG0,T024
A,451300K350C0,含安全氣囊喇叭按鈕總成,4,,,,,,PG1,
D,1712037054,進氣岐管,4,,,,,,TG0,
C,4411037232,動力轉向機總成,4,,,,,,HG0,
C,4411037301,動力轉向機總成,4,,,,,,HG0,
D,8117153850,左頭燈殼,4,,,,,,TG0,
C,S51Q2E0450,腳踏板蓋，左,4,,,,,,HG0,
D,4351253020,前煞車碟盤,4,,,,,,TG0,
N,HA04D1I00001,油壓缸,4,,,,,,HTB,
G,449437021,,4,,,,,,TG0,
A,770100K201,燃油箱通氣管總成,4,,,,,,PG1,
D,43512V2010,前煞車碟盤,4,,,,,,TG0,
A,42431V2010,後煞車碟盤,4,,,,,,TG0,
A,4243107040,後煞車碟盤,4,,,,,,TG0,
D,5271150030,前保險桿飾條,4,,,,,,TG0,
C,S884111220,冷凝器芯子,4,,,,,,HG0,
F,TW9729400150,共軌供油泵總成，HP3,4,,,,,,DG0,
A,4243133060,後煞車碟盤,4,,,,,,TG0,
A,4243152190,碟片,4,,,,,,TG0,
F,TWY042200370AM,集中修理壓縮機,4,,,,,,DG0,
A,3541020571FF,控制閥本體,4,,,,,,HT0,
D,4351611031,前煞車碟盤,4,,,,,,TG0,
C,4461037151,煞車增壓器總成,4,,,,,,HG0,
D,4351211031,前煞車碟盤,4,,,,,,TG0,
A,81561K0020,組合燈殼,4,,,,,,TG0,
D,435120W060,前煞車碟盤,4,,,,,,TG0,
A,4351652020,前煞車碟盤,4,,,,,,TG0,
F,TWY447200080,集中修理壓縮機,4,,,,,,DG0,
O,4.01E+06,,4,,,,,,HG0,
D,42431V2010,後煞車碟盤,4,,,,,,TG0,
A,8156158061,組合燈殼,4,,,,,,TG0,
D,3200012460,扭力變換器總成,4,,,,,,TG0,
A,3510512091,變速箱傳動殼體,4,,,,,,TG0,
C,43201E0450,羊角，右,4,,,,,,HG0,
A,8156004180,左後綜合燈總成,4,,,,,,TG0,TMS
C,S49S0E0120,空氣煞車室總成,4,,,,,,HG0,
D,7391048050,右前座SRS氣囊,4,,,,,,TG0,
O,4243147060,後煞車碟盤,4,,,,,,TG0,
O,4.01E+06,,4,,,,,,HG0,
D,4802050203,左前避震器氣壓缸,4,,,,,,TG0,
C,S446403581,煞車增壓缸總成,4,,,,,,HG0,
C,S1170E0240,引擎動力分導器（PTO）,4,,,,,,HG0,
D,424310W050,碟片,4,,,,,,TG0,
C,S49U0E0B70,後煞車室總成,4,,,,,,HG0,
A,1770025171,空氣濾清器總成,4,,,,,,TG0,
A,5849047141B0,"BOARD ASSY, RR",4,,,,,,TG0,
A,3541020571,閥體,4,,,,,,TG0,
A,6247058081C1,飾板,4,,,,,,TG0,
D,4351611010,前煞車碟盤,4,,,,,,TG0,
D,4243133100,後煞車碟盤,4,,,,,,TG0,
A,7396006220,儀表板SRS氣囊,4,,,,,,PG1,
A,4347059886,外側驅動軸總成,4,,,,,,TG0,
D,8832033280,冷氣壓縮機,4,,,,,,TG0,
C,5532037021B0,儀錶板飾蓋，中下,4,,,,,,HG0,
A,3200071070,扭力轉換器總成,4,,,,,,TG0,
G,4243126230,碟片,4,,,,,,TG0,
